alg,clNo,clustsize,no.Trubetskoy Broad,no. Trubetskoy Priortised,Molecular Function,Biological Function,Diseases,False Trub Enrichment
sgG2,23,51,0,0,"['structural constituent of ribosome', 'RNA binding', 'rRNA binding', ""mRNA 5'-UTR binding"", 'small ribosomal subunit rRNA binding', 'ubiquitin ligase inhibitor activity', 'tubulin binding', 'large ribosomal subunit rRNA binding', 'MDM2/MDM4 family protein binding', 'mRNA binding']","['translation', 'cytoplasmic_translation', 'ribosomal_small_subunit_biogenesis', 'rRNA_processing', 'ribosomal_small_subunit_assembly', 'maturation_of_SSU-rRNA_from_tricistronic...', 'maturation_of_SSU-rRNA']",[],False
sgG2,21,41,0,0,"['SNAP receptor activity', 'syntaxin binding', 'SNARE binding', 'syntaxin-1 binding', 'calcium-dependent protein binding', 'chloride channel inhibitor activity', 'monoamine:proton antiporter activity', 'myosin II binding', 'calcium-dependent phospholipid binding', 'phosphatidylserine binding', 'clathrin binding', 'structural molecule activity', 'soluble NSF attachment protein activity', 'extracellular matrix structural constituent']","['vesicle_docking', 'synaptic_vesicle_fusion_to_presynaptic_a...', 'vesicle_fusion', 'exocytosis', 'SNARE_complex_assembly', 'regulation_of_synaptic_vesicle_priming', 'membrane_fusion', 'intracellular_protein_transport', 'synaptic_vesicle_priming', 'regulation_of_exocytosis', 'plasminogen_activation', 'fibrinolysis', 'blood_coagulation,_fibrin_clot_formation', 'positive_regulation_of_peptide_hormone_s...', 'negative_regulation_of_endothelial_cell_...', 'positive_regulation_of_heterotypic_cell-...', 'neurotransmitter_loading_into_synaptic_v...', 'protein_polymerization', 'platelet_aggregation', 'synaptic_vesicle_exocytosis', 'positive_regulation_of_exocytosis', 'calcium_ion-regulated_exocytosis_of_neur...', 'negative_regulation_of_extrinsic_apoptot...', 'positive_regulation_of_vasoconstriction', 'regulation_of_calcium_ion-dependent_exoc...', 'exocytic_insertion_of_neurotransmitter_r...', 'cornified_envelope_assembly', 'vesicle_targeting', 'regulation_of_protein_secretion', 'induction_of_bacterial_agglutination', 'regulation_of_dopamine_secretion', 'cellular_response_to_calcium_ion', 'endocytic_recycling', 'calcium_ion_regulated_exocytosis', 'histamine_secretion_by_mast_cell', 'synaptic_vesicle_to_endosome_fusion', 'SNARE_complex_disassembly', 'serotonin_uptake', 'insulin_secretion', 'positive_regulation_of_protein_secretion', 'protein-containing_complex_assembly']",['frontotemporal_dementia'],False
sgG2,35,29,0,0,"['RNA binding', 'mRNA binding', 'single-stranded DNA binding', ""mRNA 3'-UTR binding"", 'single-stranded RNA binding', 'poly(A) binding', 'pre-mRNA binding', 'G-rich strand telomeric DNA binding', 'pre-mRNA intronic binding', 'poly(U) RNA binding', 'poly(G) binding', 'DNA binding', 'miRNA binding', 'molecular condensate scaffold activity', ""mRNA 3'-UTR AU-rich region binding"", 'translation activator activity', 'C-rich single-stranded DNA binding', 'minor groove of adenine-thymine-rich DNA binding', 'telomeric DNA binding', 'telomeric repeat-containing RNA binding', 'sequence-specific single stranded DNA binding', 'single-stranded telomeric DNA binding', 'RNA polymerase II complex binding', 'TFIIH-class transcription factor complex binding', 'snRNA binding', 'poly(C) RNA binding', 'RNA polymerase II C-terminal domain binding', 'promoter-specific chromatin binding', ""3',5'-cyclic-AMP phosphodiesterase activity""]","['mRNA_splicing,_via_spliceosome', 'RNA_processing', 'regulation_of_RNA_splicing', 'mRNA_processing', 'CRD-mediated_mRNA_stabilization', 'Arp2/3_complex-mediated_actin_nucleation', 'positive_regulation_of_cytoplasmic_trans...', 'mRNA_transport', 'regulation_of_alternative_mRNA_splicing,...', 'negative_regulation_of_nuclear-transcrib...', 'viral_RNA_genome_replication', 'positive_regulation_of_telomerase_RNA_re...', 'regulation_of_mRNA_splicing,_via_spliceo...', 'asymmetric_cell_division', 'meiotic_chromosome_movement_towards_spin...', 'meiotic_cytokinesis', 'regulation_of_gene_expression', 'positive_regulation_of_transcription_by_...', 'negative_regulation_of_telomere_maintena...', 'actin_polymerization-dependent_cell_moti...', 'spindle_localization', 'positive_regulation_of_lamellipodium_ass...', 'mRNA_stabilization', 'negative_regulation_of_mRNA_splicing,_vi...']",[],False
sgG2,3,8,0,0,"['GABA-A receptor activity', 'GABA-gated chloride ion channel activity', 'chloride channel activity', 'neurotransmitter receptor activity', 'transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential', 'inhibitory extracellular ligand-gated monoatomic ion channel activity', 'benzodiazepine receptor activity', 'GABA receptor activity', 'GABA receptor binding', 'ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential', 'complement component C1q complex binding', 'kininogen binding', 'adrenergic receptor binding', 'mitochondrial ribosome binding', 'ligand-gated monoatomic ion channel activity', 'G protein-coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential']","['nervous_system_process', 'gamma-aminobutyric_acid_signaling_pathwa...', 'inhibitory_synapse_assembly', 'chloride_transmembrane_transport', 'synaptic_transmission,_GABAergic', 'cellular_response_to_histamine', 'regulation_of_postsynaptic_membrane_pote...', 'signal_transduction', 'regulation_of_membrane_potential']","['epilepsy_syndrome', 'autistic_disorder', 'autism_spectrum_disorder', 'schizophrenia', 'bipolar_disorder']",False
sgG2,1,31,0,0,"['clathrin adaptor activity', 'clathrin binding', 'clathrin light chain binding', 'clathrin heavy chain binding', 'low-density lipoprotein particle receptor binding', 'phosphatidylinositol-3,4-bisphosphate binding', 'phosphatidylinositol-3,5-bisphosphate binding', 'peptide binding']","['clathrin-dependent_endocytosis', 'clathrin_coat_assembly', 'endocytosis', 'regulation_of_endocytosis', 'intracellular_protein_transport', 'synaptic_vesicle_endocytosis', 'vesicle-mediated_transport', 'postsynaptic_neurotransmitter_receptor_i...', 'establishment_of_epithelial_cell_polarit...', 'endosomal_transport']",[],False
sgG2,19,59,7,3,"['glutamate-gated calcium ion channel activity', 'NMDA glutamate receptor activity', 'neurexin family protein binding', 'voltage-gated potassium channel activity', 'delayed rectifier potassium channel activity', 'glutamate binding', 'signaling receptor activity', 'voltage-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential', 'transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential', 'guanylate kinase activity', 'PDZ domain binding', 'scaffold protein binding', 'glutamate-gated receptor activity', 'beta-1 adrenergic receptor binding', 'obsolete neurotransmitter binding', 'voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential', 'kinase binding', 'phosphatase binding', 'acetylcholine receptor binding', 'glycine binding', 'outward rectifier potassium channel activity', 'neuroligin family protein binding', 'inward rectifier potassium channel activity', 'cell adhesion molecule binding', 'amyloid-beta binding']","['positive_regulation_of_excitatory_postsy...', 'positive_regulation_of_synaptic_transmis...', 'cation_transmembrane_transport', 'chemical_synaptic_transmission', 'potassium_ion_transmembrane_transport', 'regulation_of_ion_transmembrane_transpor...', 'embryo_development', 'regulation_of_cation_transmembrane_trans...', 'calcium_ion_transmembrane_import_into_cy...', 'excitatory_chemical_synaptic_transmissio...', 'receptor_localization_to_synapse', 'postsynaptic_membrane_assembly', 'presynaptic_membrane_assembly', 'ionotropic_glutamate_receptor_signaling_...', 'social_behavior', 'positive_regulation_of_synapse_assembly', 'brain_development', 'neuron_cell-cell_adhesion', 'receptor_clustering', 'calcium-mediated_signaling', 'synapse_assembly', 'regulation_of_presynaptic_membrane_poten...', 'protein_homooligomerization', 'presynapse_assembly', 'establishment_or_maintenance_of_epitheli...', 'regulation_of_neuronal_synaptic_plastici...', 'excitatory_postsynaptic_potential', 'cell-cell_adhesion', 'regulation_of_synaptic_plasticity', 'sensory_perception_of_pain', 'GMP_metabolic_process', 'GDP_metabolic_process', 'visual_learning', 'glutamate_receptor_signaling_pathway', 'synapse_organization', 'startle_response', 'postsynaptic_density_protein_95_clusteri...', 'negative_regulation_of_excitatory_postsy...', 'potassium_ion_transport', 'vocalization_behavior', 'synaptic_transmission,_glutamatergic', 'cellular_response_to_potassium_ion', 'membrane_repolarization_during_action_po...', 'directional_locomotion', 'protein_localization_to_postsynaptic_mem...', 'protein_heterotetramerization', 'regulation_of_respiratory_gaseous_exchan...', 'auditory_receptor_cell_stereocilium_orga...', 'locomotor_rhythm', 'rhythmic_synaptic_transmission', 'sensory_perception_of_light_stimulus', 'equilibrioception', 'long-term_synaptic_potentiation', 'neurotransmitter_receptor_localization_t...', 'corpus_callosum_development', 'regulation_of_postsynaptic_membrane_pote...', 'neuromuscular_process_controlling_balanc...', 'neuronal_action_potential', 'regulation_of_postsynaptic_density_assem...', 'protein_localization', 'negative_regulation_of_receptor_internal...', 'optic_nerve_development', 'neuronal_signal_transduction', 'positive_regulation_of_cysteine-type_end...', 'potassium_ion_import_across_plasma_membr...', 'muscle_contraction', 'multicellular_organismal_response_to_str...', 'gephyrin_clustering_involved_in_postsyna...', 'cerebellar_granule_cell_differentiation', 'photoreceptor_cell_maintenance', 'ion_transmembrane_transport', 'nervous_system_development', 'adult_behavior', 'negative_regulation_of_protein_kinase_B_...', 'protein_localization_to_synapse']","['autistic_disorder', 'autism_spectrum_disorder', 'intellectual_disability', 'epilepsy_syndrome', 'schizophrenia']",False
sgG2,16,3,0,0,"['protein-macromolecule adaptor activity', 'ubiquitin protein ligase activity', 'syntaxin binding']","['endosomal_vesicle_fusion', 'regulation_of_SNARE_complex_assembly', 'endosome_to_lysosome_transport', 'organelle_fusion', 'negative_regulation_of_intracellular_est...', 'endosome_organization', 'intracellular_protein_transport', 'vesicle_docking_involved_in_exocytosis', 'autophagy', 'protein_ubiquitination']",[],False
sgG2,11,45,0,0,"['SH3 domain binding', 'protein tyrosine kinase activity', 'non-membrane spanning protein tyrosine kinase activity', 'ephrin receptor binding', 'protein self-association', 'SH2 domain binding', 'phosphotyrosine residue binding', 'synaptic receptor adaptor activity', 'scaffold protein binding', 'signaling adaptor activity', 'receptor tyrosine kinase binding', 'phospholipase activator activity', 'latrotoxin receptor activity', 'neurotrophin TRKA receptor binding', 'type 5 metabotropic glutamate receptor binding', 'structural constituent of postsynaptic density', 'transmembrane-ephrin receptor activity', 'manganese ion binding', 'protein kinase C binding', 'cytoskeletal protein binding', 'protein kinase activity', 'kinase activity', 'G protein-coupled receptor activity', 'cadherin binding', 'GTPase activator activity', 'ATP binding', 'phospholipase binding', 'actin monomer binding', 'ionotropic glutamate receptor binding']","['peptidyl-tyrosine_phosphorylation', 'epidermal_growth_factor_receptor_signali...', 'ephrin_receptor_signaling_pathway', 'signal_complex_assembly', 'cellular_response_to_transforming_growth...', 'vascular_endothelial_growth_factor_recep...', 'regulation_of_postsynaptic_neurotransmit...', 'regulation_of_cell_adhesion_mediated_by_...', 'regulation_of_dendrite_development', 'protein_phosphorylation', 'positive_regulation_of_substrate_adhesio...', 'Fc-gamma_receptor_signaling_pathway_invo...', 'T_cell_receptor_signaling_pathway', 'positive_regulation_of_epithelial_cell_m...', 'focal_adhesion_assembly', 'protein_autophosphorylation', 'regulation_of_actin_cytoskeleton_organiz...', 'positive_regulation_of_peptidyl-tyrosine...', 'cellular_response_to_lipopolysaccharide', 'integrin-mediated_signaling_pathway', 'positive_regulation_of_protein_localizat...', 'regulation_of_cell_adhesion', 'regulation_of_GTPase_activity', 'negative_regulation_of_inflammatory_resp...', 'helper_T_cell_diapedesis', 'response_to_hydrogen_peroxide', 'cerebellar_neuron_development', 'regulation_of_T_cell_migration', 'urogenital_system_development', 'activated_T_cell_proliferation', 'regulation_of_epithelial_cell_migration', 'cellular_response_to_fluid_shear_stress', 'positive_regulation_of_oxidoreductase_ac...', 'endothelin_receptor_signaling_pathway', 'cell_migration', 'neuromuscular_process_controlling_balanc...', 'signaling', 'reelin-mediated_signaling_pathway', 'postsynaptic_specialization_assembly', 'regulation_of_cell-cell_adhesion', 'negative_regulation_of_actin_filament_bu...', 'regulation_of_modification_of_synaptic_s...', 'myoblast_proliferation', 'regulation_of_vascular_permeability', 'corticospinal_tract_morphogenesis', 'positive_regulation_of_establishment_of_...', 'establishment_of_cell_polarity', 'positive_regulation_of_cytosolic_calcium...', 'cellular_response_to_hydrogen_peroxide', 'social_behavior', 'signal_transduction', 'modulation_of_chemical_synaptic_transmis...', 'associative_learning', 'vocalization_behavior', 'megakaryocyte_development', 'positive_regulation_of_potassium_ion_tra...', 'positive_regulation_of_smooth_muscle_cel...', 'peptidyl-tyrosine_autophosphorylation', 'forebrain_development', 'maintenance_of_postsynaptic_density_stru...', 'negative_regulation_of_anoikis', 'inner_ear_morphogenesis', 'positive_regulation_of_long-term_neurona...', 'cellular_response_to_platelet-derived_gr...', 'regulation_of_cell_motility', 'positive_regulation_of_release_of_seques...', 'bone_resorption', 'positive_regulation_of_I-kappaB_kinase/N...', 'adherens_junction_organization', 'regulation_of_cell_shape', 'cellular_response_to_amyloid-beta', 'dendritic_spine_morphogenesis', 'negative_regulation_of_ERK1_and_ERK2_cas...', 'positive_regulation_of_dendritic_spine_d...', 'heart_morphogenesis', 'positive_regulation_of_T_cell_migration', 'negative_regulation_of_cell_adhesion', 'lipid_metabolic_process', 'stress_fiber_assembly', 'negative_regulation_of_cell-cell_adhesio...', 'cell_surface_receptor_signaling_pathway', 'axon_guidance', 'positive_regulation_of_cell_proliferatio...', 'positive_regulation_of_ERK1_and_ERK2_cas...', 'neuron_migration', 'angiogenesis', 'response_to_ethanol', 'regulation_of_dendritic_spine_morphogene...', 'response_to_mechanical_stimulus', 'negative_regulation_of_long-term_synapti...', 'behavioral_response_to_cocaine', 'positive_regulation_of_protein_tyrosine_...', 'stimulatory_C-type_lectin_receptor_signa...', 'positive_regulation_of_calcium_ion_trans...', 'cell_chemotaxis', 'retinal_ganglion_cell_axon_guidance', 'transforming_growth_factor_beta_receptor...', 'positive_regulation_of_ubiquitin-depende...', 'protein_modification_process', 'response_to_xenobiotic_stimulus', 'regulation_of_endocytosis', 'spermatogenesis', 'learning', 'adult_behavior', 'I-kappaB_kinase/NF-kappaB_signaling', 'regulation_of_autophagy', 'regulation_of_focal_adhesion_assembly', 'positive_regulation_of_dendrite_morphoge...', 'leukocyte_migration', 'positive_regulation_of_protein_kinase_ac...', 'cellular_response_to_retinoic_acid', 'positive_regulation_of_cell_migration']","['autistic_disorder', 'autism_spectrum_disorder']",False
sgG2,28,17,0,0,"['diacylglycerol-dependent serine/threonine kinase activity', 'calcium,diacylglycerol-dependent serine/threonine kinase activity', 'protein serine kinase activity', 'protein serine/threonine kinase activity', 'protein kinase activity', 'ATP binding', 'diacylglycerol-dependent, calcium-independent serine/threonine kinase activity', 'histone H3T6 kinase activity', 'enzyme activator activity', '14-3-3 protein binding', 'insulin receptor substrate binding', 'zinc ion binding', 'protein kinase C binding', 'A2A adenosine receptor binding', 'excitatory extracellular ligand-gated monoatomic ion channel activity', 'extracellularly glycine-gated ion channel activity', 'extracellularly glycine-gated chloride channel activity', 'lysophosphatidic acid binding', 'ethanol binding', 'nuclear androgen receptor binding', 'voltage-gated monoatomic anion channel activity', 'porin activity', 'ceramide binding', 'protein kinase binding', 'enzyme binding']","['peptidyl-serine_phosphorylation', 'protein_phosphorylation', 'intracellular_signal_transduction', 'negative_regulation_of_insulin_receptor_...', 'post-translational_protein_modification', 'negative_regulation_of_peptidyl-tyrosine...', 'mitotic_nuclear_envelope_disassembly', 'apoptotic_process', 'negative_regulation_of_glial_cell_apopto...', 'regulation_of_insulin_secretion_involved...', 'peptidyl-threonine_phosphorylation', 'regulation_of_growth', 'neuron_projection_extension', 'activation_of_protein_kinase_activity', 'response_to_morphine', 'protein_kinase_C-activating_G_protein-co...', 'cell_cycle', 'regulation_of_mRNA_stability', 'establishment_of_cell_polarity', 'Fc-gamma_receptor_signaling_pathway_invo...', 'negative_regulation_of_protein_ubiquitin...', 'chromatin_remodeling', 'positive_regulation_of_angiogenesis', 'positive_regulation_of_cell_migration', 'positive_regulation_of_I-kappaB_kinase/N...', 'negative_regulation_of_gene_silencing_by...', 'regulation_of_translational_elongation', 'regulation_of_intracellular_calcium_acti...', 'chemosensory_behavior', 'regulation_of_response_to_food', 'positive_regulation_of_mismatch_repair', 'response_to_psychosocial_stress', 'positive_regulation_of_Schwann_cell_chem...', 'regulation_of_dopaminergic_neuron_differ...', 'regulation_of_non-canonical_Wnt_signalin...', 'regulation_of_muscle_cell_differentiatio...', 'positive_regulation_of_syncytium_formati...', 'positive_regulation_of_T-helper_2_cell_d...', 'positive_regulation_of_T-helper_2_cell_c...', 'axon_choice_point_recognition', 'regulation_of_signaling_receptor_activit...', 'immunoglobulin_mediated_immune_response', 'termination_of_signal_transduction', 'B_cell_proliferation', 'negative_regulation_of_platelet_aggregat...', 'positive_regulation_of_phospholipid_scra...', 'regulation_of_ceramide_biosynthetic_proc...', 'positive_regulation_of_ceramide_biosynth...', 'positive_regulation_of_glucosylceramide_...', 'positive_regulation_of_sphingomyelin_cat...', 'macrophage_activation_involved_in_immune...', 'TRAM-dependent_toll-like_receptor_4_sign...', 'positive_regulation_of_lipid_catabolic_p...', 'mucus_secretion', 'positive_regulation_of_mucus_secretion', 'cellular_response_to_ethanol', 'positive_regulation_of_cellular_glucuron...', 'negative_regulation_of_glucose_transmemb...', 'dibenzo-p-dioxin_metabolic_process', 'positive_regulation_of_vascular_endothel...', 'response_to_vitamin_D', 'positive_regulation_of_odontogenesis_of_...', 'lipoprotein_transport', 'positive_regulation_of_B_cell_receptor_s...', 'cellular_response_to_carbohydrate_stimul...', 'desmosome_assembly', 'positive_regulation_of_lipopolysaccharid...', 'positive_regulation_of_macrophage_differ...', 'positive_regulation_of_adenylate_cyclase...', 'positive_regulation_of_dense_core_granul...', 'establishment_or_maintenance_of_cell_pol...', 'pyruvate_metabolic_process', 'anion_transmembrane_transport', 'regulation_of_synaptic_transmission,_dop...']",[],False
sgG2,4,14,0,0,"['cAMP-dependent protein kinase regulator activity', 'cAMP-dependent protein kinase inhibitor activity', 'cAMP binding', 'protein kinase A catalytic subunit binding', 'protein kinase A regulatory subunit binding', 'ubiquitin protein ligase binding', 'protein kinase A binding', 'proton-transporting ATPase activity, rotational mechanism', 'adenylate cyclase binding', 'protein domain specific binding', 'AMP-activated protein kinase activity', 'cAMP-dependent protein kinase activity', 'dopamine neurotransmitter receptor activity, coupled via Gs', 'dopamine neurotransmitter receptor activity']","['negative_regulation_of_cAMP-dependent_pr...', 'regulation_of_protein_kinase_A_signaling', 'mesoderm_formation', 'cellular_response_to_glucagon_stimulus', 'regulation_of_macroautophagy', 'adenylate_cyclase-activating_G_protein-c...', 'vacuolar_acidification', 'synaptic_vesicle_lumen_acidification', 'proton_transmembrane_transport']",[],False
sgG2,6,4,0,0,['cell-cell adhesion mediator activity'],"['synaptic_membrane_adhesion', 'modulation_of_chemical_synaptic_transmis...', 'regulation_of_neuron_projection_arboriza...', 'regulation_of_neuron_migration', 'regulation_of_neuron_projection_developm...']",[],False
sgG2,14,27,0,0,"['GTPase activity', 'protein serine/threonine kinase activity', 'GTP binding', 'protein kinase binding', 'protein serine kinase activity', 'G protein activity', 'small GTPase binding', 'GTPase activator activity', 'thioesterase binding', 'guanyl-nucleotide exchange factor activity', 'gamma-tubulin binding', 'ATP binding', 'protein kinase activity', 'phospholipid binding', 'GBD domain binding', 'apolipoprotein A-I receptor binding', 'Rho GDP-dissociation inhibitor activity', 'interleukin-33 receptor activity', 'interleukin-1 receptor activity', 'interleukin-1 receptor binding', 'NAD+ ADP-ribosyltransferase activity', 'histone deacetylase activity', 'NAD-dependent histone deacetylase activity', 'protein lysine deacetylase activity', 'NAD-dependent protein deacetylase activity', 'histone acetyltransferase binding', 'tubulin deacetylase activity', 'NAD-dependent histone H4K16 deacetylase activity', 'NAD+ binding', 'NAD-dependent protein demyristoylase activity', 'NAD-dependent protein depalmitoylase activity', 'phospholipase D activity', 'N-acylphosphatidylethanolamine-specific phospholipase D activity', 'phosphatidylinositol 3-kinase regulator activity', 'nuclear import signal receptor activity']","['regulation_of_actin_cytoskeleton_organiz...', 'cell_junction_assembly', 'establishment_of_epithelial_cell_apical/...', 'actin_cytoskeleton_organization', 'intracellular_signal_transduction', 'regulation_of_cell_migration', 'regulation_of_MAPK_cascade', 'positive_regulation_of_stress_fiber_asse...', 'Rho_protein_signal_transduction', 'stimulatory_C-type_lectin_receptor_signa...', 'regulation_of_stress_fiber_assembly', 'Wnt_signaling_pathway,_planar_cell_polar...', 'actin_filament_organization', 'positive_regulation_of_substrate_adhesio...', 'localization', 'cortical_cytoskeleton_organization', 'respiratory_burst', 'regulation_of_neutrophil_migration', 'establishment_or_maintenance_of_cell_pol...', 'substantia_nigra_development', 'regulation_of_axonogenesis', 'hepatocyte_growth_factor_receptor_signal...', 'regulation_of_lamellipodium_assembly', 'regulation_of_modification_of_postsynapt...', 'negative_regulation_of_motor_neuron_apop...', 'engulfment_of_apoptotic_cell', 'phosphorylation', 'ephrin_receptor_signaling_pathway', 'small_GTPase_mediated_signal_transductio...', 'dendritic_spine_morphogenesis', 'motor_neuron_apoptotic_process', 'cell_projection_assembly', 'cell_migration', 'protein_phosphorylation', 'positive_regulation_of_microtubule_polym...', 'motor_neuron_axon_guidance', 'positive_regulation_of_focal_adhesion_as...', 'regulation_of_small_GTPase_mediated_sign...', 'semaphorin-plexin_signaling_pathway', 'cellular_response_to_organic_cyclic_comp...', 'cell_chemotaxis', 'regulation_of_microtubule_cytoskeleton_o...', 'regulation_of_Rho_protein_signal_transdu...', 'positive_regulation_of_cytokinesis', 'regulation_of_focal_adhesion_assembly', 'Golgi_organization', 'lamellipodium_assembly', 'regulation_of_synaptic_vesicle_cycle', 'eye_photoreceptor_cell_development', 'Golgi_vesicle_budding', 'positive_regulation_of_intracellular_est...', 'negative_regulation_of_cell_proliferatio...', 'mitotic_cleavage_furrow_ingression', 'cardiac_conduction_system_development', 'cardiac_neural_crest_cell_migration_invo...', 'macrophage_differentiation', 'positive_regulation_of_pseudopodium_asse...', 'Cdc42_protein_signal_transduction', 'positive_regulation_of_pinocytosis', 'regulation_of_attachment_of_spindle_micr...', 'positive_regulation_of_epithelial_cell_p...', 'angiotensin-mediated_vasoconstriction_in...', 'alpha-beta_T_cell_lineage_commitment', 'regulation_of_systemic_arterial_blood_pr...', 'forebrain_radial_glial_cell_differentiat...', 'negative_regulation_of_intracellular_ste...', 'regulation_of_osteoblast_proliferation', 'Roundabout_signaling_pathway', 'apolipoprotein_A-I-mediated_signaling_pa...', 'apical_junction_assembly', 'beta_selection', 'ossification_involved_in_bone_maturation', 'positive_regulation_of_alpha-beta_T_cell...', 'positive_regulation_of_lipase_activity', 'trabecula_morphogenesis', 'negative_regulation_of_cell_migration_in...', 'negative_regulation_of_oxidative_phospho...', 'endothelial_tube_lumen_extension', 'skeletal_muscle_satellite_cell_migration', 'mitotic_cleavage_furrow_formation', 'positive_regulation_of_vascular_smooth_m...', 'regulation_of_neural_precursor_cell_prol...', 'cerebral_cortex_GABAergic_interneuron_de...', 'positive_regulation_of_cell_adhesion_med...', 'apical_constriction', 'positive_regulation_of_phosphatase_activ...', 'negative_regulation_of_phosphorylation', 'negative_regulation_of_membrane_protein_...', 'myoblast_migration', 'glomerular_visceral_epithelial_cell_migr...', 'regulation_of_amyloid-beta_formation', 'regulation_of_GTP_binding', 'positive_regulation_of_extrinsic_apoptot...', 'negative_regulation_of_cysteine-type_end...', 'regulation_of_hydrogen_peroxide_metaboli...', 'negative_regulation_of_fibroblast_migrat...', 'negative_regulation_of_interleukin-23_pr...', 'positive_regulation_of_Rho_protein_signa...', 'localization_within_membrane', 'regulation_of_respiratory_burst', 'interleukin-33-mediated_signaling_pathwa...', 'chromatin_silencing_at_rDNA', 'protein_deacetylation', 'mitotic_nuclear_envelope_reassembly', 'histone_deacetylation', 'heterochromatin_assembly', 'telomeric_heterochromatin_assembly', 'peptidyl-lysine_deacetylation', 'positive_regulation_of_DNA_binding', 'cellular_lipid_catabolic_process', 'NLRP3_inflammasome_complex_assembly', 'positive_regulation_of_fatty_acid_biosyn...', 'positive_regulation_of_meiotic_nuclear_d...', 'negative_regulation_of_striated_muscle_t...', 'response_to_redox_state', 'positive_regulation_of_attachment_of_spi...', 'negative_regulation_of_transcription_fro...', 'cellular_response_to_caloric_restriction', 'negative_regulation_of_oligodendrocyte_p...', 'positive_regulation_of_execution_phase_o...', 'positive_regulation_of_oocyte_maturation', 'positive_regulation_of_proteasomal_ubiqu...', 'regulation_of_microvillus_assembly', 'cell_morphogenesis_involved_in_neuron_di...', 'positive_regulation_of_1-phosphatidylino...', 'regulation_of_DNA_recombination', 'NLS-bearing_protein_import_into_nucleus', 'skeletal_muscle_satellite_cell_prolifera...', 'apoptotic_process']",['hypertension'],False
