alg,clNo,clustsize,no.Trubetskoy Broad,no. Trubetskoy Priortised,Molecular Function,Biological Function,Diseases,False Trub Enrichment
sgG2,30,26,0,0,"['calmodulin-dependent protein phosphatase activity', 'cyclosporin A binding', 'voltage-gated calcium channel activity involved in AV node cell action potential', 'calcium-dependent protein serine/threonine phosphatase activity', 'protein serine/threonine phosphatase activity', 'myosin phosphatase activity', 'voltage-gated calcium channel activity involved in cardiac muscle cell action potential', 'calmodulin binding']","['synaptic_vesicle_uncoating', 'calcineurin-mediated_signaling', 'calcineurin-NFAT_signaling_cascade', 'positive_regulation_of_calcineurin-NFAT_...', 'protein_dephosphorylation', 'synaptic_vesicle_endocytosis', 'negative_regulation_of_signaling', 'membrane_depolarization_during_AV_node_c...', 'membrane_depolarization_during_atrial_ca...', 'regulation_of_synaptic_vesicle_endocytos...', 'plasma_membrane_tubulation', 'T_cell_activation', 'skeletal_muscle_fiber_development', 'receptor-mediated_endocytosis', 'endocytosis']",['frontotemporal_dementia'],False
sgG2,15,32,0,0,"['GDP binding', 'G protein activity', 'GTP binding', 'GTPase activity', 'myosin V binding', 'Rab GDP-dissociation inhibitor activity', 'small GTPase binding']","['Rab_protein_signal_transduction', 'protein_transport', 'vesicle-mediated_transport', 'early_endosome_to_late_endosome_transpor...', 'antigen_processing_and_presentation', 'establishment_of_protein_localization_to...', 'plasma_membrane_to_endosome_transport', 'amyloid-beta_clearance_by_transcytosis', 'regulation_of_endocytic_recycling', 'multivesicular_body_assembly', 'protein_localization_to_Golgi_apparatus', 'endocytosis', 'ubiquitin-dependent_protein_catabolic_pr...', 'establishment_of_vesicle_localization', 'mitotic_metaphase_plate_congression', 'viral_release_from_host_cell']",[],False
sgG2,29,22,0,0,"['protein phosphatase regulator activity', 'protein tyrosine phosphatase activity', 'transmembrane receptor protein tyrosine phosphatase activity']","['synaptic_membrane_adhesion', 'protein_dephosphorylation', 'transmembrane_receptor_protein_tyrosine_...']",[],False
sgG2,5,43,0,0,"['molecular adaptor activity', 'protein heterodimerization activity', 'fibronectin binding', 'spectrin binding', 'calmodulin binding', 'GTP binding', 'virus receptor activity', 'protein dimerization activity', 'protease binding']","['cytoskeleton-dependent_cytokinesis', 'ER_to_Golgi_vesicle-mediated_transport', 'barbed-end_actin_filament_capping', 'protein_localization_to_plasma_membrane', 'leukocyte_migration', 'intracellular_pH_reduction', 'defense_response_to_bacterium', 'mesodermal_cell_differentiation', 'leukocyte_tethering_or_rolling', 'regulation_of_establishment_of_endotheli...', 'proton_transmembrane_transport', 'endosomal_lumen_acidification', 'lysosomal_lumen_acidification', 'positive_regulation_of_myoblast_fusion', 'positive_regulation_of_bone_mineralizati...', 'cell_adhesion_mediated_by_integrin', 'negative_regulation_of_Rho_protein_signa...', 'positive_regulation_of_aspartic-type_end...', 'phosphatidylinositol_metabolic_process', 'vacuolar_acidification', 'positive_regulation_of_protein_phosphory...', 'phosphatidylinositol-mediated_signaling', 'response_to_axon_injury', 'positive_regulation_of_protein_targeting...', 'negative_regulation_of_cytokine_producti...', 'positive_regulation_of_protein_binding', 'sodium_ion_transmembrane_transport', 'synaptic_vesicle_lumen_acidification', 'viral_entry_into_host_cell', 'cilium_assembly', 'positive_regulation_of_protein_localizat...', 'positive_regulation_of_neuron_projection...', 'positive_regulation_of_receptor_recyclin...', 'positive_regulation_of_wound_healing', 'cellular_calcium_ion_homeostasis', 'positive_regulation_of_cell_migration', 'regulation_of_exocytosis', 'plasma_membrane_fusion', 'growth_hormone_secretion', 'cargo_loading_into_COPII-coated_vesicle', 'calcium-independent_cell-matrix_adhesion', 'germ_cell_migration', 'regulation_of_collagen_catabolic_process', 'cell-cell_adhesion_mediated_by_integrin', 'wound_healing,_spreading_of_epidermal_ce...', 'myoblast_differentiation', 'cardiac_muscle_cell_myoblast_differentia...', 'cellular_response_to_low-density_lipopro...', 'regulation_of_inward_rectifier_potassium...', 'positive_regulation_of_hemoglobin_biosyn...', 'regulation_of_synaptic_transmission,_gly...', 'glycine_import_across_plasma_membrane', 'regulation_of_cytokine_production', 'Fc_receptor_mediated_stimulatory_signali...', 'tolerance_induction_to_self_antigen', 'negative_regulation_of_myeloid_leukocyte...', 'immune_response-regulating_cell_surface_...', 'Fc_receptor_mediated_inhibitory_signalin...', 'regulation_of_B_cell_apoptotic_process', 'response_to_sterol_depletion', 'response_to_carbohydrate', 'negative_regulation_of_B_cell_proliferat...', 'regulation_of_mast_cell_activation', 'negative_regulation_of_toll-like_recepto...', 'negative_regulation_of_toll-like_recepto...', 'regulation_of_mast_cell_degranulation', 'regulation_of_erythrocyte_differentiatio...', 'negative_regulation_of_immune_response', 'regulation_of_B_cell_receptor_signaling_...', 'positive_regulation_of_Fc_receptor_media...', 'positive_regulation_of_stress-activated_...', 'positive_regulation_of_oligodendrocyte_p...', 'positive_regulation_of_mast_cell_prolife...', 'regulation_of_monocyte_chemotaxis', 'dendritic_cell_differentiation', 'negative_regulation_of_intracellular_sig...', 'positive_regulation_of_dendritic_cell_ap...', 'positive_regulation_of_cholesterol_stora...', 'low-density_lipoprotein_particle_clearan...', 'positive_regulation_of_centrosome_duplic...', 'regulation_of_neurological_system_proces...', 'positive_regulation_of_connective_tissue...', 'centrosome_duplication', 'positive_regulation_of_fibroblast_growth...', 'regulation_of_cellular_response_to_hypox...', 'positive_regulation_of_amyloid_precursor...', 'dsRNA_transport', 'plasma_membrane_raft_assembly', 'plasma_membrane_raft_organization', 'cellular_response_to_exogenous_dsRNA', 'positive_regulation_of_cell_junction_ass...', 'positive_regulation_of_cell-cell_adhesio...', 'phosphatidylinositol_catabolic_process', 'inositol_trisphosphate_metabolic_process', 'fat_cell_differentiation', 'positive_regulation_of_developmental_gro...', 'activation_of_meiosis_involved_in_egg_ac...', 'regulation_of_fertilization', 'regulation_of_retrograde_trans-synaptic_...', 'cellular_response_to_fluoride', 'cellular_response_to_vasopressin', 'cellular_response_to_ionomycin', 'cellular_response_to_glyceraldehyde', 'positive_regulation_of_acrosome_reaction', 'negative_regulation_of_monocyte_extravas...', 'positive_regulation_of_CD24_biosynthetic...', 'presynapse_to_nucleus_signaling_pathway', 'presynaptic_active_zone_assembly', 'positive_regulation_of_establishment_of_...', 'T-helper_1_type_immune_response', 'defense_response_to_protozoan', 'adipose_tissue_development', 'oncogene-induced_cell_senescence', 'angiotensin_maturation', 'central_nervous_system_maturation', 'rostrocaudal_neural_tube_patterning', 'positive_regulation_of_transforming_grow...', 'eye_pigmentation', 'head_morphogenesis', 'sterol_transport', 'cholesterol_transport', 'ceramide_transport', 'negative_regulation_by_host_of_viral_gen...', 'endoplasmic_reticulum-plasma_membrane_te...', 'protein_localization_to_endoplasmic_reti...', 'COPII-coated_vesicle_budding', 'zinc_ion_transport', 'detoxification_of_zinc_ion', 'cadmium_ion_transmembrane_transport', 'negative_regulation_of_zinc_ion_transmem...', 'detoxification_of_cadmium_ion', 'negative_regulation_of_calcium_ion_impor...', 'regulation_of_transforming_growth_factor...', 'regulation_of_BMP_signaling_pathway', 'negative_regulation_of_cell_projection_o...', 'response_to_gonadotropin', 'skin_development', 'nephron_development', 'protein_localization_to_plasma_membrane_...', 'regulation_of_myoblast_differentiation', 'anterograde_dendritic_transport', 'regulation_of_motor_neuron_apoptotic_pro...', 'regulation_of_cellular_response_to_insul...', 'calcium_ion_export_across_plasma_membran...', 'regulation_of_systemic_arterial_blood_pr...', 'amino_acid_transport', 'leucine_transport', 'proline_transport', 'tryptophan_transport', 'thyroid_hormone_transport', 'leucine_import_across_plasma_membrane', 'L-leucine_import_across_plasma_membrane', 'lipid_transport', 'protein_palmitoylation', 'regulation_of_receptor_localization_to_s...', 'protein_folding_in_endoplasmic_reticulum', 'activation_of_blood_coagulation_via_clot...', 'positive_regulation_of_phagocytosis,_eng...', 'calcium_activated_phosphatidylserine_scr...', 'calcium_activated_phosphatidylcholine_sc...', 'positive_regulation_of_monocyte_chemotax...', 'phosphatidylserine_exposure_on_blood_pla...', 'positive_regulation_of_potassium_ion_exp...', 'protein_targeting_to_vacuole', 'synaptic_vesicle_coating', 'antigen_processing_and_presentation,_exo...', 'positive_regulation_of_NK_T_cell_differe...', 'regulation_of_heart_rate_by_chemical_sig...', 'regulation_of_nitric-oxide_synthase_acti...', 'regulation_of_cardiac_muscle_cell_action...', 'regulation_of_high_voltage-gated_calcium...', 'positive_regulation_of_delayed_rectifier...', 'positive_regulation_of_voltage-gated_pot...', 'positive_regulation_of_peptidyl-cysteine...', 'vesicle_fusion_with_Golgi_apparatus', 'spontaneous_synaptic_transmission', 'neurotransmitter_receptor_cycle', 'postsynaptic_neurotransmitter_receptor_c...', 'mevalonate_transport', 'behavioral_response_to_nutrient', 'succinate_transmembrane_transport', 'carboxylic_acid_transmembrane_transport', 'negative_regulation_of_cellular_response...']",[],False
sgG2,34,32,0,0,"['amyloid-beta binding', 'structural constituent of cytoskeleton']","['actin_filament_capping', 'positive_regulation_of_inhibitory_postsy...', 'multicellular_organism_growth', 'presynaptic_dense_core_vesicle_exocytosi...', 'neuromuscular_synaptic_transmission', 'neuronal_dense_core_vesicle_exocytosis', 'positive_regulation_of_dendrite_extensio...']",[],False
sgG2,13,23,4,3,"['MAP kinase kinase activity', 'protein serine kinase activity', 'protein serine/threonine kinase activity', 'MAP kinase activity', 'ATP binding', 'transcription coactivator binding', 'histone H3S10 kinase activity', 'histone H3S28 kinase activity', 'ubiquitin protein ligase binding', 'ribosomal protein S6 kinase activity', 'RNA polymerase II transcription regulatory region sequence-specific DNA binding', 'magnesium ion binding', 'ubiquitin ligase inhibitor activity', 'DNA binding', 'phosphatase binding', 'phosphotyrosine residue binding', 'mitogen-activated protein kinase p38 binding', 'NFAT protein binding', 'RNA polymerase II CTD heptapeptide repeat kinase activity', 'RNA polymerase II core promoter sequence-specific DNA binding', 'actinin binding', 'general transcription initiation factor binding', 'angiotensin receptor binding', 'MAP-kinase scaffold activity', 'polysome binding', 'histone H2AS1 kinase activity']","['apoptotic_process', 'cellular_response_to_tumor_necrosis_fact...', 'interleukin-1-mediated_signaling_pathway', 'regulation_of_ossification', 'thyroid_gland_development', 'regulation_of_stress-activated_MAPK_casc...', 'face_development', 'regulation_of_Golgi_inheritance', 'chemotaxis', 'intracellular_signal_transduction', 'Bergmann_glial_cell_differentiation', 'trachea_formation', 'ERK1_and_ERK2_cascade', 'regulation_of_early_endosome_to_late_end...', 'regulation_of_transcription,_DNA-templat...', 'protein_phosphorylation', 'stress-activated_MAPK_cascade', 'lipopolysaccharide-mediated_signaling_pa...', 'positive_regulation_of_gene_expression', 'insulin-like_growth_factor_receptor_sign...', 'cellular_response_to_lipoteichoic_acid', 'outer_ear_morphogenesis', 'cardiac_neural_crest_cell_development_in...', 'response_to_epidermal_growth_factor', 'positive_regulation_of_CREB_transcriptio...', 'thymus_development', 'peptidyl-serine_phosphorylation', 'cellular_senescence', 'positive_regulation_of_cyclase_activity', 'response_to_muramyl_dipeptide', 'positive_regulation_of_interleukin-12_pr...', 'response_to_muscle_stretch', 'signal_transduction_in_response_to_DNA_d...', 'cellular_response_to_ionizing_radiation', 'positive_regulation_of_telomere_capping', 'positive_regulation_of_macrophage_chemot...', 'regulation_of_cellular_pH', 'response_to_exogenous_dsRNA', 'lung_morphogenesis', 'caveolin-mediated_endocytosis', 'transcription,_DNA-templated', 'inflammatory_response', 'response_to_organic_substance', 'negative_regulation_of_ubiquitin_protein...', 'positive_regulation_of_transcription_by_...', 'positive_regulation_of_NF-kappaB_transcr...', 'cellular_response_to_vascular_endothelia...', 'cellular_response_to_cadmium_ion', ""3'-UTR-mediated_mRNA_stabilization"", 'positive_regulation_of_telomere_maintena...', 'positive_regulation_of_telomerase_activi...', 'negative_regulation_of_cytokine_producti...', 'cellular_response_to_amino_acid_starvati...', 'transcription_by_RNA_polymerase_II', 'positive_regulation_of_protein_serine/th...', 'regulation_of_cytoskeleton_organization', 'post-translational_protein_modification', 'negative_regulation_of_ubiquitin-depende...', 'regulation_of_transcription_by_RNA_polym...', 'cellular_response_to_reactive_oxygen_spe...', 'cell_cycle', 'phosphorylation', 'response_to_insulin', 'negative_regulation_of_protein_kinase_B_...', 'insulin_receptor_signaling_pathway', 'positive_regulation_of_ERK1_and_ERK2_cas...', 'cellular_response_to_lipopolysaccharide', 'chromatin_remodeling', 'DNA_damage_checkpoint', 'cartilage_condensation', 'transmembrane_receptor_protein_serine/th...', 'fatty_acid_oxidation', 'stress-activated_protein_kinase_signalin...', 'p38MAPK_cascade', 'cellular_response_to_UV-B', 'stress-induced_premature_senescence', 'regulation_of_cytokine_production_involv...', 'regulation_of_response_to_tumor_cell', 'cytosine_metabolic_process', 'ERBB_signaling_pathway', 'steroid_hormone_mediated_signaling_pathw...', 'regulation_of_entry_of_bacterium_into_ho...', 'acetaldehyde_metabolic_process', 'response_to_UV-B', 'positive_regulation_of_vascular_endothel...', 'positive_regulation_of_Schwann_cell_diff...', 'cellular_response_to_stress', 'response_to_cobalamin', 'nucleotide-binding_oligomerization_domai...', 'cellular_response_to_peptidoglycan', 'cellular_response_to_nicotine', 'regulation_of_NIK/NF-kappaB_signaling', 'negative_regulation_of_NIK/NF-kappaB_sig...', 'positive_regulation_of_transcription_fro...', 'negative_regulation_of_pri-miRNA_transcr...', 'cartilage_development', 'xenophagy', 'positive_regulation_of_xenophagy', 'desensitization_of_G_protein-coupled_rec...', 'negative_regulation_of_toll-like_recepto...', 'postsynaptic_signal_transduction', 'ribosomal_protein_import_into_nucleus', 'protein-DNA_complex_disassembly', 'G1_to_G0_transition', 'cellular_response_to_actinomycin_D', 'type_B_pancreatic_cell_proliferation', 'epithelial_cell_proliferation_involved_i...', 'placenta_blood_vessel_development', 'labyrinthine_layer_development', 'DNA_damage_response,_signal_transduction...', 'negative_regulation_of_embryonic_develop...', 'negative_regulation_of_mesoderm_developm...', 'spinal_cord_ventral_commissure_morphogen...', 'dorsal/ventral_axon_guidance', 'anterior/posterior_axon_guidance', 'membrane_raft_localization', 'ectopic_germ_cell_programmed_cell_death', 'negative_regulation_of_skeletal_muscle_t...', 'negative_regulation_of_reproductive_proc...', 'positive_regulation_of_stress_granule_as...']",[],False
sgG2,18,4,0,0,"['proton-transporting ATPase activity, rotational mechanism', 'ATPase binding', 'ATP hydrolysis activity', 'fructose-bisphosphate aldolase activity']","['synaptic_vesicle_lumen_acidification', 'regulation_of_macroautophagy']",[],False
sgG2,8,32,0,0,"['translation regulator activity', 'RNA binding', 'RNA 7-methylguanosine cap binding', 'RNA strand annealing activity', 'RNA cap binding', 'translation initiation factor binding', 'protein homodimerization activity']","['regulation_of_translation', 'regulation_of_alternative_mRNA_splicing,...', 'negative_regulation_of_translation']","['autistic_disorder', 'autism_spectrum_disorder']",False
